"weight";"lat";"lon"
"1000";"48.22";"15.293"
"991";"48.23";"15.313"
"980";"48.26";"15.383"
"949";"48.23";"15.323"
"916";"48.27";"15.403"
"910";"48.24";"15.333"
"893";"48.2";"15.253"
"892";"48.26";"15.393"
"890";"48.22";"15.303"
"860";"48.92";"15.063"
"859";"48.24";"15.343"
"857";"48.2";"15.243"
"854";"48.27";"15.413"
"821";"48.89";"15.113"
"793";"48.25";"15.363"
"785";"48.19";"15.223"
"782";"48.28";"15.423"
"746";"48.28";"15.433"
"737";"48.21";"15.273"
"700";"48.19";"15.233"
"697";"48.9";"15.093"
"664";"48.3";"15.473"
"664";"48.29";"15.453"
"660";"48.18";"15.203"
"636";"48.18";"15.213"
"626";"48.9";"15.103"
"618";"48.88";"15.133"
"618";"48.21";"15.263"
"603";"48.29";"15.443"
"582";"48.25";"15.373"
"578";"48.89";"15.123"
"575";"48.25";"15.353"
"560";"48.11";"15.433"
"552";"48.93";"15.043"
"544";"48.3";"15.483"
"536";"48.32";"15.293"
"528";"48.21";"15.283"
"526";"48.91";"15.073"
"521";"48.11";"15.423"
"513";"48.15";"15.133"
"503";"48.32";"15.283"
"493";"48.12";"15.063"
"490";"48.31";"15.333"
"487";"48.12";"15.393"
"483";"48.32";"15.303"
"482";"48.3";"15.393"
"480";"48.12";"15.383"
"476";"48.31";"15.363"
"474";"48.11";"15.413"
"470";"48.67";"15.063"
"470";"48.26";"15.373"
"464";"48.95";"14.993"
"464";"48.1";"15.453"
"450";"48.3";"15.383"
"445";"48.05";"15.423"
"440";"48.05";"15.433"
"438";"48.31";"15.343"
"435";"48.3";"15.403"
"430";"48.87";"15.153"
"430";"48.91";"15.083"
"428";"48.22";"15.283"
"427";"48.29";"15.433"
"427";"48.12";"15.373"
"426";"48.11";"15.063"
"425";"48.24";"15.353"
"423";"48.17";"15.193"
"422";"48.31";"15.353"
"422";"48.41";"15.063"
"418";"48.15";"15.273"
"418";"48.29";"15.463"
"416";"48.25";"14.893"
"409";"48.93";"15.033"
"409";"48.94";"15.013"
"407";"48.33";"15.233"
"406";"48.88";"15.143"
"403";"48.94";"15.023"
"400";"48.31";"15.323"
"400";"48.05";"15.443"
"398";"48.31";"15.313"
"398";"48.12";"15.073"
"398";"48.32";"15.273"
"397";"48.13";"15.353"
"393";"48.25";"14.883"
"389";"48.3";"15.413"
